,Compound_ID,Energy_per_atom
0,AlP2-32,-5.060901
1,CoP2-12,-6.48692525
2,GaP2-17,-4.701085666666667
3,LiP2-12,-4.553082083333334
4,PbP2-9,-4.643322
5,RuP2-12,-7.2755465
6,SP2-17,-4.9988005
7,BaP2-26,-4.944022666666666
8,CP2-33,-6.1279745000000005
9,HfP2-30,-7.652806000000001
10,LuP2-32,-5.888723416666667
11,PdP2-12,-5.686933666666667
12,SbP2-26,-4.860931
13,SrP2-26,-4.8147356666666665
14,WP2-17,-8.1898095
15,BeP2-4,-5.1223893333333335
16,CrP2-12,-6.9905420000000005
17,InP2-29,-4.489824333333334
18,MgP2-34,-4.4005841666666665
19,ScP2-17,-6.630544
20,TaP2-33,-8.071037166666667
21,YP2-7,-6.651779166666667
22,BP2-32,-5.8429685000000005
23,CsP2-33,-4.253115333333334
24,IrP2-12,-7.230846916666667
25,MnP2-12,-7.017208166666666
26,PtP2-29,-6.093616333333333
27,SeP2-17,-4.6998095
28,TeP2-32,-4.37932625
29,ZnP2-31,-4.036527333333333
30,BrP2-31,-4.016018666666667
31,CuP2-31,-4.911488666666666
32,MoP2-17,-7.712646500000001
33,RaP2-31,-4.670421666666667
34,SiP2-8,-5.52534575
35,TiP2-7,-7.006560166666667
36,ZrP2-17,-7.384938333333333
37,CaP2-31,-4.931697333333333
38,FeP2-30,-6.644304000000001
39,KP2-33,-4.285971666666667
40,NP2-3,-6.200596333333333
41,RbP2-33,-4.251671
42,TlP2-32,-4.314123583333333
43,CdP2-31,-3.8794896666666667
44,FP2-12,-5.0132845
45,LaP2-26,-6.191159333333334
46,OP2-36,-5.855338166666667
47,RhP2-12,-6.64992475
48,SnP2-12,-4.8953204999999995
49,VP2-33,-7.042881333333334
