,Compound_ID,Energy_per_atom
0,AgS-2,-3.41013
1,BS-25,-5.8186773333333335
2,CS-25,-6.175205833333333
3,HfS-22,-8.25891875
4,LiS-1,-3.88782625
5,NiS-6,-5.19527325
6,RbS-26,-3.462904416666667
7,AlS-13,-4.815643
8,CaS-24,-5.221801875
9,CsS-3,-2.750504
10,InS-55,-3.9412935
11,LuS-14,-6.196638
12,PbS-2,-4.4561847
13,RhS-1,-5.972722
14,SnS-2,-4.4832075
15,WS-1,-8.88639675
16,AuS-15,-3.766672625
17,CdS-29,-3.16024745
18,CuS-29,-4.29820705
19,IrS-14,-6.6292145
20,MgS-2,-4.24099775
21,PdS-10,-4.78112525
22,RuS-2,-6.80950375
23,SrS-14,-5.0562495
24,YS-12,-7.2933115
25,BaS-24,-5.105997375
26,CeS-24,-6.46481
27,FeS-8,-6.8081605
28,MnS-13,-6.9980695
29,SbS-24,-4.220091875
30,TaS-1,-8.79419925
31,ZnS-2,-3.3732435
32,BeS-2,-4.90754175
33,CoS-5,-6.0281295
34,GaS-3,-4.23215425
35,KS-26,-3.55199325
36,NaS-26,-3.551557583333333
37,PtS-6,-5.336975
38,ScS-26,-7.03327675
39,TiS-24,-7.319908375
40,ZrS-22,-7.738264
41,BiS-26,-4.215538
42,CrS-24,-7.284464375
43,GeS-1,-4.57877925
44,LaS-14,-6.6976025
45,NbS-2,-7.876567
46,RaS-12,-4.6823353
47,SiS-9,-5.174663
48,VS-6,-7.29218125
