,Compound_ID,Energy_per_atom
0,AgB2-17,-4.9024165
1,CB2-22,-7.109490833333333
2,FB2-22,-5.593034666666667
3,NaB2-23,-4.6430795
4,ScB2-31,-7.400076666666667
5,TiB2-26,-8.141957666666666
6,AlB2-4,-5.744868
7,CdB2-30,-4.2320166666666665
8,FeB2-36,-7.365703416666666
9,KB2-37,-4.473553333333333
10,NB2-36,-7.671539916666667
11,PtB2-32,-6.377174
12,SeB2-4,-5.490921
13,TlB2-29,-4.583800666666667
14,AsB2-4,-5.714045666666667
15,CeB2-29,-6.358798666666666
16,GaB2-37,-4.9845033333333335
17,LaB2-36,-6.4024705
18,NbB2-26,-8.511704333333332
19,RaB2-37,-4.756437666666667
20,SiB2-4,-5.884150000000001
21,VB2-29,-8.164314666666668
22,AuB2-36,-5.014353833333334
23,ClB2-32,-5.143778583333334
24,GeB2-26,-5.411017999999999
25,LiB2-31,-5.091368666666667
26,NiB2-22,-6.273597666666666
27,RbB2-37,-4.379186666666667
28,BaB2-37,-5.123070666666666
29,CoB2-31,-6.936162666666667
30,HfB2-4,-8.794099333333333
31,OB2-32,-6.887450666666666
32,RhB2-33,-6.811711
33,SnB2-31,-5.259825
34,WB2-31,-9.121939666666666
35,BeB2-2,-5.625670666666667
36,CrB2-4,-7.971416666666666
37,HgB2-31,-3.9255756666666666
38,MgB2-29,-5.105689666666667
39,PB2-4,-6.1872015000000005
40,RuB2-17,-7.7195665
41,SrB2-31,-5.1104270000000005
42,YB2-26,-7.170320333333334
43,BiB2-29,-5.233524666666667
44,CsB2-26,-4.264718666666666
45,InB2-29,-4.842051666666666
46,MnB2-30,-7.798105666666667
47,PbB2-31,-5.126988666666667
48,SB2-2,-5.708168000000001
49,TaB2-29,-9.051851666666666
50,ZnB2-22,-4.414918833333333
51,CaB2-30,-5.271536666666667
52,CuB2-37,-5.396108666666667
53,IrB2-37,-4.841670833333334
54,MoB2-31,-8.405942999999999
55,PdB2-31,-6.007143666666667
56,SbB2-29,-5.309220333333333
57,TeB2-20,-5.014387166666666
58,ZrB2-29,-8.292962000000001
