,Compound_ID,Energy_per_atom
0,AgC2-4,-5.628683666666666
1,BiC2-2,-6.242397166666667
2,CuC2-32,-6.691296666666666
3,IC2-38,-5.697825000000001
4,LuC2-4,-7.847035666666667
5,NiC2-2,-7.006882
6,RbC2-33,-5.521081833333334
7,AlC2-4,-6.8191543333333335
8,BrC2-37,-4.877304666666666
9,FC2-2,-7.2710539999999995
10,InC2-4,-6.077062000000001
11,MgC2-25,-6.240101333333333
12,PbC2-37,-6.5880833333333335
13,RhC2-32,-7.83540425
14,SnC2-17,-6.481083666666667
15,WC2-7,-9.952341333333333
16,AsC2-17,-6.592061999999999
17,CaC2-2,-6.804378499999999
18,FeC2-32,-8.497563333333334
19,IrC2-2,-8.244809
20,MnC2-17,-8.617879666666667
21,PC2-4,-7.332633666666666
22,RuC2-2,-8.48995
23,SrC2-4,-6.6905575
24,YC2-3,-8.492454666666667
25,AuC2-37,-5.966731333333333
26,CdC2-36,-5.460505666666666
27,GaC2-4,-6.4011008333333335
28,MoC2-7,-9.2411495
29,PdC2-30,-6.7994856666666665
30,SbC2-12,-6.3874375
31,TaC2-2,-9.760820166666667
32,ZnC2-36,-5.720356333333334
33,BaC2-4,-6.7056045
34,CeC2-4,-7.827154833333334
35,GeC2-32,-6.73463375
36,KC2-32,-6.1398045
37,NaC2-4,-6.1524581666666665
38,ScC2-4,-8.3774415
39,TeC2-37,-5.933146166666667
40,ZrC2-17,-9.039901833333333
41,BC2-4,-8.122023
42,CrC2-31,-8.79205
43,HfC2-4,-9.490406333333334
44,LaC2-3,-7.953900333333333
45,NbC2-13,-9.067365
46,PtC2-2,-7.246488333333333
47,SeC2-32,-6.111566083333333
48,TiC2-31,-8.760869999999999
49,BeC2-20,-6.8088685
50,CsC2-13,-5.1938086666666665
51,HgC2-3,-5.125607666666666
52,LiC2-2,-6.626175333333333
53,NC2-2,-8.536880333333334
54,RaC2-4,-7.532192333333334
55,SiC2-4,-8.642401
