Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AlP-2,1472803,relaxation,-4.99339125,-4.931
AlP-2,1472931,relaxation,-4.99339125,-4.931
AlP-2,1742623,relaxation,-4.99339125,-4.91
AlP-2,1105854,relaxation,-4.99339125,-4.889
AlP-2,1108222,relaxation,-4.99339125,-4.613
AlP-2,1217546,relaxation,-4.99339125,-4.459
AlP-2,338211,standard,-4.99339125,-4.444
AlP-2,338211,relaxation,-4.99339125,-4.433
AlP-2,306669,standard,-4.99339125,-4.445
AlP-2,306669,relaxation,-4.99339125,-4.437
AlP-2,327753,standard,-4.99339125,-4.897
AlP-2,327753,relaxation,-4.99339125,-4.435
AlP-2,1228012,relaxation,-4.99339125,-4.271
CdP-2,1108230,relaxation,-3.15896525,-3.015
CdP-2,1106633,relaxation,-3.15896525,-2.891
CdP-2,1219088,relaxation,-3.15896525,-2.838
CdP-2,328532,standard,-3.15896525,-2.632
CdP-2,328532,relaxation,-3.15896525,-2.727
CdP-2,338990,standard,-3.15896525,-2.437
CdP-2,338990,relaxation,-3.15896525,-2.688
CdP-2,307448,standard,-3.15896525,-2.665
CdP-2,307448,relaxation,-3.15896525,-2.665
CdP-2,1228767,relaxation,-3.15896525,-2.625
CuP-5,1753852,relaxation,-4.76679175,-4.423
CuP-5,1108235,relaxation,-4.76679175,-4.405
CuP-5,328668,standard,-4.76679175,-4.351
CuP-5,328668,relaxation,-4.76679175,-4.352
CuP-5,1106769,relaxation,-4.76679175,-4.338
CuP-5,1222201,relaxation,-4.76679175,-4.264
CuP-5,1229172,relaxation,-4.76679175,-4.187
CuP-5,339126,standard,-4.76679175,-3.929
CuP-5,339126,relaxation,-4.76679175,-4.17
CuP-5,307584,standard,-4.76679175,-4.162
CuP-5,307584,relaxation,-4.76679175,-4.159
MnP-10,1230306,relaxation,-7.6528545,-7.63
MnP-10,1732531,relaxation,-7.6528545,-7.544
MnP-10,306789,standard,-7.6528545,-7.549
